"countryCode_ISO3","level","lon","lat"
"AFG",0,66.0693359782073,33.9067426611061
"ALB",0,20.0620131755507,41.1531063547132
"DZA",0,2.6746064674775,28.4206635366142
"ASM",0,-170.717913319815,-14.3004535267274
"AND",0,1.57522119808193,42.5438931464557
"AGO",0,17.5782702090126,-12.3949584898044
"AIA",0,-63.0545831151706,18.2145611198629
"ATA",0,-67.4781722017112,-80.3435707102462
"ATG",0,-61.7983900359027,17.0773050377474
"ARG",0,-65.3766441805166,-36.3197217300166
"ARM",0,44.9343022622547,40.3017320124814
"ABW",0,-69.970283215311,12.5093276070106
"AUS",0,134.442408251932,-26.0223450520134
"AUT",0,14.1505874752664,47.5977746732482
"AZE",0,47.6585873719283,40.3636278296958
"BHS",0,-78.0597896334339,24.6900060400197
"BHR",0,50.5394237532252,26.0566516148252
"BGD",0,90.2744075975386,23.9343369770132
"BRB",0,-59.5563972253355,13.1722902751045
"BLR",0,28.065139352296,53.5920914231104
"BEL",0,4.65855807648354,50.6469293534829
"BLZ",0,-88.7038370918922,17.2057902836672
"BEN",0,2.34155793576131,9.66481494174858
"BMU",0,-64.7822378524562,32.2978432716414
"BTN",0,90.4282358193144,27.3974737894065
"BOL",0,-64.6514077941013,-16.7844602204779
"BIH",0,17.7855925541878,44.1851417653481
"BWA",0,23.8081775492387,-22.2359702421989
"BVT",0,3.38225916700607,-54.4283018493464
"BRA",0,-53.0099391915636,-11.1846450715579
"IOT",0,72.4344280081025,-7.34033793721251
"VGB",0,-64.620060626288,18.4240774329481
"BRN",0,114.633226480871,4.50297858198673
"BGR",0,25.2280009771467,42.7679801640091
"BFA",0,-1.74269792303692,12.2842924756958
"BDI",0,29.88973383187,-3.36804727878358
"KHM",0,104.919698357169,12.719046099522
"CMR",0,12.7444852400919,5.71190879215956
"CAN",0,-104.088934970569,59.7489428144943
"CPV",0,-23.6248260975582,15.083809287955
"BES",0,-68.289645260045,12.1845504794946
"CYM",0,-81.2439452031338,19.3184492414374
"CAF",0,20.4888379256067,6.58272992338054
"TCD",0,18.6713610335747,15.4725562949161
"CHL",0,-71.4010150423474,-37.4102221864086
"CHN",0,104.24956814713,37.6450446350214
"Z02",0,76.5549063684385,35.9758952472736
"Z03",0,79.1504136941565,35.0579629699121
"Z08",0,79.3517988989063,32.8441398203459
"CXR",0,105.636552316625,-10.4853493653727
"CCK",0,96.8309703413624,-12.1736454902337
"COL",0,-73.0798724215138,3.9186296033351
"COM",0,43.3542208263265,-11.6627046459209
"COG",0,15.2439561103481,-0.835221548495784
"COD",0,23.6639920739926,-2.90861384825593
"COK",0,-159.777587838249,-21.2346004699661
"CRI",0,-84.1943590018563,9.97647698664306
"HRV",0,16.4146001370695,45.1497853153493
"CUB",0,-78.9504564782388,21.6265371605327
"CUW",0,-68.9726622336237,12.1941117326189
"CYP",0,32.9683947267448,34.9236949870653
"CZE",0,15.3266505702134,49.7495277709153
"CIV",0,-5.55555263289155,7.6333421972175
"DNK",0,9.32025581609989,56.0432735565833
"DJI",0,42.5655403570257,11.7285034005819
"DMA",0,-61.3500008331245,15.4346304217477
"DOM",0,-70.4965540825641,18.9006677014213
"ECU",0,-78.3774872445024,-1.44976281411667
"EGY",0,29.7779692496517,26.6666854792818
"SLV",0,-88.8700231671899,13.732409401483
"GNQ",0,10.4659450795237,1.56461754838872
"ERI",0,38.8344140154288,15.3900458439666
"EST",0,25.8409161349647,58.6937515446433
"SWZ",0,31.4982201071444,-26.5674333013931
"ETH",0,39.620179173647,8.65905659707083
"FLK",0,-58.7542907666809,-51.7421861671914
"FRO",0,-6.95302106937841,62.1691707952023
"FJI",0,177.965325126904,-17.8365010112713
"FIN",0,26.3064688367939,64.9194796932522
"FRA",0,2.45558905833762,46.7427104400428
"GUF",0,-53.2309747305728,3.93173487470197
"PYF",0,-149.400711481738,-17.6775575617278
"ATF",0,69.4877531435797,-49.3163270779806
"GAB",0,11.7952931860451,-0.623083607612545
"GMB",0,-15.3725702944073,13.4516213442263
"GEO",0,43.5106749576643,42.1850977452303
"DEU",0,10.3975163383901,51.2060462451956
"GHA",0,-1.20804638742492,7.97999484619969
"GIB",0,-5.34916582468121,36.1364947343961
"GRC",0,22.5876421595591,39.5111802870341
"GRL",0,-41.4531480074856,77.2858156124096
"GRD",0,-61.6837712116543,12.1137686198767
"GLP",0,-61.5758956614787,16.2283827448219
"GUM",0,144.777066615904,13.4436026050859
"GTM",0,-90.3533563149627,15.7057578622816
"GGY",0,-2.57945444834072,49.4563981164348
"GIN",0,-10.9242569295354,10.4427969904062
"GNB",0,-14.9207027603141,12.0534687353628
"GUY",0,-58.9812636658167,4.79826656117116
"HTI",0,-72.6689458728746,18.9370487159838
"HMD",0,73.5169117804741,-53.0932730190263
"HND",0,-86.6149429375474,14.8192150144783
"HUN",0,19.4228414530819,47.1791517838054
"ISL",0,-18.5764743011641,65.0112242422763
"IND",0,79.3696796668742,22.628445455294
"Z01",0,76.5759101193508,33.7796374834952
"Z04",0,78.5980003830918,32.1089301945652
"Z05",0,80.1265921883604,30.7400322114254
"Z07",0,94.3660090944892,28.1415125338311
"Z09",0,79.0771349419628,31.2653292964612
"IDN",0,113.997608948693,-0.210305018424798
"IRN",0,54.2218796564173,32.7595737096969
"IRQ",0,43.7608300255463,33.1179215968114
"IRL",0,-8.14521882346726,53.202115053082
"IMN",0,-4.5376949551035,54.2286766502369
"ISR",0,35.0152455209613,31.4709400962116
"ITA",0,12.0891323785526,43.6380365286353
"JAM",0,-77.310697628593,18.1573329584398
