"wcvp_plant_name_id","wcvp_taxon_rank","wcvp_taxon_status","wcvp_family","wcvp_taxon_name","wcvp_taxon_authors","wcvp_accepted_plant_name_id","wcvp_reviewed","wcvp_searchedName","wcvp_taxon_status_of_searchedName","wcvp_plant_name_id_of_searchedName","wcvp_taxon_authors_of_searchedName","wcvp_verified_author","wcvp_verified_speciesName","wcvp_searchNotes"
,,,,,,,,"Hydnocarpus octandrus",,,,0,0,"Not found"
,,,,,,,,"Erythrospermum zeylanicum",,,,0,0,"Not found"
,,,,,,,,"Trichadenia philippinensis",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus wrayi",,,,0,0,"Not found"
,,,,,,,,"Erythrospermum candidum",,,,0,0,"Not found"
,,,,,,,,"Trichadenia sasae",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus octandrus",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus nanus",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus verrucosus",,,,0,0,"Not found"
,,,,,,,,"Erythrospermum acuminatissimum",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus cucurbitinus",,,,0,0,"Not found"
,,,,,,,,"Trichadenia sasae",,,,0,0,"Not found"
,,,,,,,,"Scaphocalyx spathacea",,,,0,0,"Not found"
,,,,,,,,"Erythrospermum acuminatissimum",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus humei",,,,0,0,"Not found"
,,,,,,,,"Trichadenia sasae",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus filipes",,,,0,0,"Not found"
,,,,,,,,"Scaphocalyx spathacea",,,,0,0,"Not found"
,,,,,,,,"Ryparosa kurrangii",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus humei",,,,0,0,"Not found"
,,,,,,,,"Trichadenia sasae",,,,0,0,"Not found"
,,,,,,,,"Erythrospermum acuminatissimum",,,,0,0,"Not found"
,,,,,,,,"Chlorocarpa pentaschista",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus castaneus",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus ilicifolius",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus hainanensis",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus castaneus",,,,0,0,"Not found"
