"Ctrl_gbifID","Ctrl_bibliographicCitation","Ctrl_language","Ctrl_institutionCode","Ctrl_collectionCode","Ctrl_datasetName","Ctrl_basisOfRecord","Ctrl_catalogNumber","Ctrl_recordNumber","Ctrl_recordedBy","Ctrl_occurrenceStatus","Ctrl_eventDate","Ctrl_year","Ctrl_month","Ctrl_day","Ctrl_habitat","Ctrl_fieldNotes","Ctrl_eventRemarks","Ctrl_countryCode","Ctrl_stateProvince","Ctrl_municipality","Ctrl_county","Ctrl_locality","Ctrl_level0Name","Ctrl_level1Name","Ctrl_level2Name","Ctrl_level3Name","Ctrl_identifiedBy","Ctrl_dateIdentified","Ctrl_scientificName","Ctrl_decimalLatitude","Ctrl_decimalLongitude","Ctrl_nameRecordedBy_Standard","Ctrl_recordNumber_Standard","Ctrl_key_family_recordedBy_recordNumber","Ctrl_geospatial_quality","Ctrl_verbatim_quality","Ctrl_moreInformativeRecord","Ctrl_coordinates_validated_by_gbif_issue","wcvp_plant_name_id","wcvp_taxon_rank","wcvp_taxon_status","wcvp_family","wcvp_taxon_name","wcvp_taxon_authors","wcvp_reviewed","wcvp_searchNotes","parseGBIF_digital_voucher","parseGBIF_duplicates","parseGBIF_num_duplicates","parseGBIF_non_groupable_duplicates","parseGBIF_duplicates_grouping_status","parseGBIF_unidentified_sample","parseGBIF_sample_taxon_name","parseGBIF_sample_taxon_name_status","parseGBIF_number_taxon_names","parseGBIF_useful_for_spatial_analysis","parseGBIF_decimalLatitude","parseGBIF_decimalLongitude","parseGBIF_freq_duplicate_or_missing_data"
814348779,,,"BAF","HERB",,"PRESERVED_SPECIMEN","457594",,"Lorentz, P. G.","PRESENT",,,,,,,,"AR","Salta",,"Orán","Orán",,,,,"-",,"Achatocarpus praecox f. praecox",,,"LORENTZ",,"ACHATOCARPACEAE_LORENTZ_",-9,6,-3,FALSE,,,,,,,,"Not found",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",TRUE,"","unidentified",0,FALSE,,,""
2998309167,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=2777249",,"K","K",,"PRESERVED_SPECIMEN","K000407253","s.n.","Lorentz","PRESENT",,,,,,,,,,,,"Oran",,,,,,,"Achatocarpus spinulosus Griseb.",,,"LORENTZ",,"ACHATOCARPACEAE_LORENTZ_",-9,6,-3,FALSE,500162,"Form","Accepted","Achatocarpaceae","Achatocarpus praecox f. spinulosus","(Griseb.) Hauman","Y","Updated",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus praecox f. spinulosus","identified",1,FALSE,,,""
2451324975,,,"GOET","GOET-Typen",,"PRESERVED_SPECIMEN","10761",,"P.G. Lorentz & G. Hieronymus","PRESENT",,,,,,,,,,,,,,,,,,,"Achatocarpus spinulosus Griseb.",,,"LORENTZ",,"ACHATOCARPACEAE_LORENTZ_",-9,3,-6,FALSE,500162,"Form","Accepted","Achatocarpaceae","Achatocarpus praecox f. spinulosus","(Griseb.) Hauman","Y","Updated",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus praecox f. spinulosus","identified",1,FALSE,,,""
2451316972,,,"GOET","GOET-Typen",,"PRESERVED_SPECIMEN","10758",,"P.G. Lorentz & G. Hieronymus","PRESENT",,,,,,,,,,,,,,,,,,,"Achatocarpus praecox Griseb.",,,"LORENTZ",,"ACHATOCARPACEAE_LORENTZ_",-9,3,-6,FALSE,500159,"Species","Accepted","Achatocarpaceae","Achatocarpus praecox","Griseb.","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus praecox","identified",1,FALSE,,,""
2451314978,,,"GOET","GOET-Typen",,"PRESERVED_SPECIMEN","10759",,"P.G. Lorentz & G. Hieronymus","PRESENT",,,,,,,,,,,,,,,,,,,"Achatocarpus praecox Griseb.",,,"LORENTZ",,"ACHATOCARPACEAE_LORENTZ_",-9,3,-6,FALSE,500159,"Species","Accepted","Achatocarpaceae","Achatocarpus praecox","Griseb.","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus praecox","identified",1,FALSE,,,""
2451313975,,,"GOET","GOET-Typen",,"PRESERVED_SPECIMEN","10756",,"P.G. Lorentz & G. Hieronymus","PRESENT",,,,,,,,,,,,,,,,,,,"Achatocarpus praecox Griseb.",,,"LORENTZ",,"ACHATOCARPACEAE_LORENTZ_",-9,3,-6,FALSE,500159,"Species","Accepted","Achatocarpaceae","Achatocarpus praecox","Griseb.","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus praecox","identified",1,FALSE,,,""
2446659973,,,"B","Herbarium Berolinense",,"PRESERVED_SPECIMEN","B 10 1070721",,"Lorentz,P.G. & Hieronymus,G.H.E.W.","PRESENT",1872-12-22,1872,12,22,,,,"AR",,,,"Argentina: [La Cruz, Prov. de Tucuman]. 1872-12-22, Leg.: Lorentz,P.G. & Hieronymus,G.H.E.W. 45.",,,,,"H. Walter",,"Achatocarpus praecox f. spinulosus (Schinz & Autran) Hauman",,,"LORENTZ",,"ACHATOCARPACEAE_LORENTZ_",-9,6,-3,FALSE,500162,"Form","Accepted","Achatocarpaceae","Achatocarpus praecox f. spinulosus","(Griseb.) Hauman","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus praecox f. spinulosus","identified",1,FALSE,,,""
2446659914,,,"B","Herbarium Berolinense",,"PRESERVED_SPECIMEN","B 10 1070724",,"Lorentz,P.G. & Hieronymus,G.H.E.W.","PRESENT",1872-12-22,1872,12,22,,,,"AR",,,,"Argentina: La Cruz bei Tucuman. 1872-12-22, Leg.: Lorentz,P.G. & Hieronymus,G.H.E.W. 45.",,,,,"A. Heimerl",,"Achatocarpus praecox f. spinulosus (Schinz & Autran) Hauman",,,"LORENTZ",,"ACHATOCARPACEAE_LORENTZ_",-9,6,-3,FALSE,500162,"Form","Accepted","Achatocarpaceae","Achatocarpus praecox f. spinulosus","(Griseb.) Hauman","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus praecox f. spinulosus","identified",1,FALSE,,,""
2446659888,,,"B","Herbarium Berolinense",,"PRESERVED_SPECIMEN","B 10 1070716",,"Lorentz,P.G. & Hieronymus,G.H.E.W.","PRESENT",1873-09-01,1873,9,,,,,"AR",,,,"Argentina: Oran. 1873-09, Leg.: Lorentz,P.G. & Hieronymus,G.H.E.W. 39.",,,,,"A. Heimerl",,"Achatocarpus praecox Griseb.",,,"LORENTZ",,"ACHATOCARPACEAE_LORENTZ_",-9,6,-3,FALSE,500159,"Species","Accepted","Achatocarpaceae","Achatocarpus praecox","Griseb.","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus praecox","identified",1,FALSE,,,""
2446659856,,,"B","Herbarium Berolinense",,"PRESERVED_SPECIMEN","B 10 1070714",,"Lorentz,P.G. & Hieronymus,G.H.E.W.","PRESENT",1873-10-01,1873,10,,,,,"AR",,,,"Argentina: En los alrededores de Oran. 1873-10, Leg.: Lorentz,P.G. & Hieronymus,G.H.E.W. 39.",,,,,"A. Heimerl",,"Achatocarpus praecox Griseb.",,,"LORENTZ",,"ACHATOCARPACEAE_LORENTZ_",-9,6,-3,FALSE,500159,"Species","Accepted","Achatocarpaceae","Achatocarpus praecox","Griseb.","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus praecox","identified",1,FALSE,,,""
