"Ctrl_nameRecordedBy_Standard","Ctrl_recordedBy","Ctrl_notes","collectorDictionary","Ctrl_update","collectorName","Ctrl_fullName","Ctrl_fullNameII","CVStarrVirtualHerbarium_PersonDetails"
"FELGER","R.S. FELGER; ROBIN THOMAS",,"",,,,,
"FERNANDEZ","A. T. FERNÁNDEZ C.;L. CAYOLA;J. UZQUIANO;PEPE SEVILLANOS;GUZMÁN JOVE",,"",,,,,
"FERNANDEZ","F. JAVIER FERNÁNDEZ CASAS;J. MOLERO",,"",,,,,
"FERNANDEZ","ÁNGEL FERNÁNDEZ;REINA GONTO",,"",,,,,
"FERNANDEZ-ALONSO","J.L. FERNÁNDEZ-ALONSO & JARAMILLO MEJIA, R.",,"",,,,,
"FERNANDEZ-ALONSO","J.L. FERNÁNDEZ-ALONSO & R. JARAMILLO MEJÍA",,"",,,,,
"FERNANDEZ-ALONSO","JOSÉ LUIS FERNÁNDEZ-ALONSO;ROBERTO JARAMILLO-MEJÍA",,"",,,,,
"FERNANDO","FERNANDO CHIANG C.;ANTONIO SALINAS T.;OSCAR R. DORADO R.",,"",,,,,
"FERNANDO","FERNANDO CHIANG C.;GABRIEL FLORES F.",,"",,,,,
"FERRARI","FERRARI, G",,"",,,,,
"FERRARI","FERRARI, G;FERRARI, G.",,"",,,,,
"FERREIRA","FERREIRA, J.A.; FRANCISCO, E.M. & PAVÃO, O.C.",,"",,,,,
"FERREIRA","FERREIRA, J.A.;FRANCISCO, E.M.,PAVÃO, O.C.",,"",,,,,
"FERREIRA","FERREIRA, J.A.;FRANCISCO, E.M.,PAVÃO, O.C.,FRANCISCO, EM,FERREIRA, JA,PAVÃO, OC",,"",,,,,
"FERREIRA","FERREIRA, JA;FERREIRA, J.A.",,"",,,,,
"FERRIS","ROXANA S. FERRIS",,"",,,,,
"FHA","FHA; RVA; HAH",,"",,,,,
"FIEBRIG","FIEBRIG, K.A.G. (NO. 1358)",,"",,,,,
"FLEETWOOD","R. J. FLEETWOOD",,"",,,,,
"FLORES","A. FLORES M.",,"",,,,,
"FLORES","A. FLORES M.; O. GUTIÉRREZ",,"",,,,,
"FLORES","A. FLORES; J. LEÓN",,"",,,,,
"FLORES","A. FLORES; O. GUTIÉRREZ",,"",,,,,
"FLORES","A. FLORES; O. GUTIÉRREZ; A. DELUCIO",,"",,,,,
"FLORES-MACIAS","A. FLORES-MACÍAS; N.P. RAMOS G.",,"",,,,,
"FONNEGRA","FONNEGRA R.;ARBOLEDA O.;BUNCH P.",,"",,,,,
"FONNEGRA","FONNEGRA R.;CURSO TAXONOMÍA DE PLANTAS VASCULARES.",,"",,,,,
"FONNEGRA","FONNEGRA R.;IDÁRRAGA A.;VASCO A.;CURSO PALINOLOGÍA.",,"",,,,,
"FONNEGRA","FONNEGRA R.;TORRES H.",,"",,,,,
"FONNEGRA","RAMIRO FONNEGRA G.;ET AL.",,"",,,,,
"FONNEGRA-G","FONNEGRA-G, R.;ARBOLEDA, O.;BUNCH, P.",,"",,,,,
"FONSECA","A. FONSECA Z.",,"",,,,,
"FORERO","E. FORERO; R. JARAMILLO; L. M. QUIÑONES; L. A. VIDAL",,"",,,,,
"FORERO","E. FORERO;R. JARAMILLO;L. M. QUIÑONES;L. A. VIDAL",,"",,,,,
"FORERO","FORERO, O.;HERNÁNDEZ, J.;JARA, L.",,"",,,,,
"FORERO","LUIS E. FORERO;NELLY HERNÁNDEZ",,"",,,,,
"FORREST","FORREST SHREVE",,"",,,,,
"FORTHER","H. FORTHER; & AL.",,"",,,,,
"FORTUNATO","RENÉE H. FORTUNATO;MARÍA E. MÚLGURA;A. MARTÍNEZ",,"",,,,,
"FORTUNATO","RENÉE H. FORTUNATO;ROBERT NEUMANN;S. SOTO;RICARDO MICHELI",,"",,,,,
"FRANCA","FRANÇA, F.;PAULA-SOUZA, J.",,"",,,,,
"FRANCA","FRANÇA, F.;WILLIAMS, D.E.",,"",,,,,
"FRANCISCO","E.M.FRANCISCO; O.C.PAVÃO E O.M.GONÇALVES",,"",,,,,
"FRANCISCO","FRANCISCO J. ROLDÁN;LUIS CARLOS GARCÍA;G. SYLVA",,"",,,,,
"FRANCISCO","FRANCISCO JAVIER ROLDÁN;L. C. GARCÍA;G. SYLVA",,"",,,,,
"FRANCISCO","FRANCISCO, E.M.; PAVÃO, O.C.",,"",,,,,
"FRANCISCO","FRANCISCO, E.M.; PAVÃO, O.C.; GONÇALVES, O.M.",,"",,,,,
"FRANCISCO","FRANCISCO, E.M.; SOUZA, L.R.M.",,"",,,,,
"FRANCISCO","FRANCISCO, E.M.;PAVÃO, O.C.,FRANCISCO, EM,PAVÃO, OC",,"",,,,,
"FRANCISCO","FRANCISCO, E.M.;SOUZA, L.R.M.",,"",,,,,
"FRANCISCO","FRANCISCO, EM;ET AL.",,"",,,,,
"FRANCISCO","FRANCISCO, EM;SOUZA, L.R.M.,FRANCISCO, E.M.",,"",,,,,
"FREEMAN","JERRY FREEMAN",,"",,,,,
"FRIEDMAN","S. L. FRIEDMAN; C. M. SMITH",,"",,,,,
"FRIEDMAN","S. L. FRIEDMAN; G. HALL",,"",,,,,
"FRIEDMAN","S. L. FRIEDMAN; J. L. ANDERSON, C. D. BERTELSEN, J. EMMETT, K. J. JOHNSON, S. A. MEYER",,"",,,,,
"FRIEDMAN","S. L. FRIEDMAN; W. E. HALL",,"",,,,,
"FRIES","R.E. FRIES;,FRIES",,"",,,,,
"FRYXELL","FRYXELL, PA; ANDERSON, WR",,"",,,,,
"FRYXELL","FRYXELL, PA;FRYXELL, P.A.,ANDERSON, W.R.",,"",,,,,
"FRYXELL","P. A. FRYXELL; W. R. ANDERSON",,"",,,,,
"FRYXELL","PAUL A. FRYXELL; W. R. ANDERSON",,"",,,,,
"FUENTES","ALFREDO F. FUENTES;L. CAYOLA;B. ESCOBARI;C. APARICIO;P. DE LA PEÑA;A. ITURRI;A. FERNANDEZ;D. MAMANI;J. MAMANI",,"",,,,,
"FUENTES","ALFREDO F. FUENTES;L. CAYOLA;B. ESCOBARI;C. APARICIO;P. DE LA PEÑA;A. ITURRI;A. FERNANDEZ;D. MAMANI;J. MAMANI;REMBERTO JOVE",,"",,,,,
"FUENTES","ALFREDO F. FUENTES;S. ALVAREZ;ANTONIO ÁLVAREZ;N. ORTUÑO;J. NINA",,"",,,,,
"FUERTE","MARCOS FUERTE O.",,"",,,,,
"GABRIELA","CARMEN GABRIELA SUÁREZ GRACIDA",,"",,,,,
"GALAN","GALÁN,P. & CALDERÓN,A.",,"",,,,,
"GALAN","GALÁN,P. & SALGADO,J.",,"",,,,,
"GALAN","GALÁN,P., MARROQUÍN,J., SEGURA,J. & ELÍAS,H.E.",,"",,,,,
"GALAN","GALÁN,P., RODRÍGUEZ,D. & SÁNCHEZ,R.",,"",,,,,
"GALAN","GALÁN,P., VILLACORTA,A., BOLAÑOS,O., SANTOS,J. & BERRÍOS,A.",,"",,,,,
"GALAN","P. GALÁN;A. CALDERÓN",,"",,,,,
"GALAN","P. GALÁN;B.J. PEÑA",,"",,,,,
"GALAN","P. GALÁN;DAGOBERTO RODRÍGUEZ;R. SÁNCHEZ",,"",,,,,
"GANEV","GANEV, W.;LOVATO, M.C.",,"",,,,,
"GARCIA","A. REYES GARCÍA; J. E. GORDON",,"",,,,,
"GARCIA-BARRIGA","HERNANDO GARCÍA-BARRIGA",,"",,,,,
"GARCIA-BIELMA","M.A. GARCÍA-BIELMA",,"",,,,,
"GARVIZU","GARVIZU, M.; MUNOZ, CON M.; ARIMOSA, A.",,"",,,,,
"GENTRY","AL GENTRY; MCCLURE",,"",,,,,
"GENTRY","ALWYN H. GENTRY;A. REPIZZO;CÉSAR E. BARBOSA;ROSA ORTIZ",,"",,,,,
"GENTRY","ALWYN H. GENTRY;ADRIAN JUNCOSA",,"",,,,,
"GENTRY","ALWYN H. GENTRY;CAMILO DÍAZ S.",,"",,,,,
"GENTRY","ALWYN H. GENTRY;CAMILO DÍAZ S.;C. BLANEY",,"",,,,,
"GENTRY","ALWYN H. GENTRY;CARLOS A. PALACÍ",,"",,,,,
"GENTRY","ALWYN H. GENTRY;DOUGLAS C. DALY;HENRY LEÓN",,"",,,,,
"GENTRY","ALWYN H. GENTRY;HERMES CUADROS V.",,"",,,,,
"GENTRY","ALWYN H. GENTRY;MARIELOS PEÑA",,"",,,,,
"GENTRY","ALWYN H. GENTRY;MICHAEL H. NEE;MARIO SALDIAS P.",,"",,,,,
"GENTRY","ALWYN H. GENTRY;RODOLFO DIRZO;LINDSAY P. WOODRUFF;BRAD BOYLE",,"",,,,,
"GENTRY","ALWYN H. GENTRY;UNAM TROPICAL ECOLOGY CLASS",,"",,,,,
"GENTRY","GENTRY; MCCLURE",,"",,,,,
"GERARDO","GERARDO AYMARD;FRANCISCO J. ORTEGA;NIDIA CUELLO",,"",,,,,
"GERARDO","GERARDO AYMARD;NIDIA CUELLO",,"",,,,,
"GERMAN","GERMÁN PARRA",,"",,,,,
"GOMEZ","LEÓN GÓMEZ C.",,"",,,,,
"GONZALEZ","C. GONZÁLEZ R.",,"",,,,,
"GONZALEZ","CLAUDIA GONZALEZ ROMO",,"",,,,,
"GONZALEZ","F. GONZÁLEZ MEDRANO; C. DELGADILLO; M. HERNÁNDEZ",,"",,,,,
"GONZALEZ","F. GONZÁLEZ MEDRANO; D. CORONA; S. CORTÉS; E. MARTÍNEZ S.",,"",,,,,
"GONZALEZ","F. GONZÁLEZ MEDRANO; H. PUIG; J. SÁNCHEZ",,"",,,,,
"GONZALEZ","F. GONZÁLEZ MEDRANO; V. M. TOLEDO; E. MARTÍNEZ S.",,"",,,,,
"GONZALEZ","GONZALEZ ORTEGA, J.",,"",,,,,
"GONZALEZ","GONZÁLEZ, ROY;CASTAÑO, A;DEVIA, W.",,"",,,,,
"GONZALEZ","GONZÁLEZ, ROY;IDÁRRAGA, ÁLVARO;J, LAZARO;M, ALEXANDER",,"",,,,,
"GONZALEZ","GONZÁLEZ, ROY;NIETO, J.;GARCÍA, D.",,"",,,,,
"GONZALEZ","J. E. GONZÁLEZ H.",,"",,,,,
"GONZALEZ","J. E. GONZÁLEZ H.; M. G. ZOLA B.",,"",,,,,
"GONZALEZ","J. E. GONZÁLEZ H.;M. G. ZOLA B.",,"",,,,,
"GONZALEZ","J. GONZÁLEZ",,"",,,,,
"GONZALEZ","J.E. GONZÁLEZ H.",,"",,,,,
"GONZALEZ","J.E. GONZÁLEZ H.; M.G. ZOLÁ B.",,"",,,,,
"GONZALEZ","R. GONZÁLEZ M.;A. CASTAÑO N.;W. DEVIA",,"",,,,,
"GONZALEZ-MEDRANO","F. GONZÁLEZ-MEDRANO; C. DELGADILLO M.; M. HERNÁNDEZ",,"",,,,,
"GONZALEZ-ROMO","C. GONZÁLEZ-ROMO",,"",,,,,
"GRIJALVA","A. GRIJALVA",,"",,,,,
"GRIJALVA","A. GRIJALVA; M. V. SANDINO",,"",,,,,
"GRIJALVA","ALFREDO GRIJALVA P.;D. SOZA",,"",,,,,
"GRIJALVA","ALFREDO GRIJALVA P.;M. ARANDA",,"",,,,,
"GRIJALVA","ALFREDO GRIJALVA P.;M. V. SANDINO",,"",,,,,
"GUADALUPE","MARIA GUADALUPE AYALA",,"",,,,,
"GUERRERO","B. GUERRERO C.; A. GOLBER; L. ROBLES",,"",,,,,
"GUERRERO","B. GUERRERO C.; A.D. GOLBERG",,"",,,,,
"GUERRERO","MARCELA RUIZ GUERRERO; ALBERT VAN DER HEIDEN, E. GARCÍA, PRISCILIANO MEJIA, ALWIN VAN DER HEIDEN, H. PLASCENCIA G.",,"",,,,,
"GUERRERO","MARCELA RUIZ GUERRERO; MARÍA ELENA GARCÍA ARMENTA",,"",,,,,
"GUERRERO","MARCELA RUIZ GUERRERO; MARÍA ELENA GARCÍA ARMENTA, PRISCILIANO MEJÍA MORA",,"",,,,,
"GUILLERMO","GUILLERMO REINA",,"",,,,,
"GUTIERREZ","C. GUTIÉRREZ B.; E. MONTOYA L.",,"",,,,,
"GUTIERREZ","C. GUTIÉRREZ B.; L. GUERRERO",,"",,,,,
"GUTIERREZ","C. GUTIÉRREZ S.; E. MONTOYA",,"",,,,,
"GUTIERREZ","KENIA VELÁSCO GUTIÉRREZ; A. SÁNCHEZ; ARTURO NAVA ZAFRA",,"",,,,,
"GUTIERREZ-BAEZ","C. GUTIÉRREZ-BÁEZ; E. MONTOYA",,"",,,,,
"GUTIERREZ-BAEZ","C. GUTIÉRREZ-BÁEZ; L. GUERRERO U.",,"",,,,,
"GUZMAN","M. GUZMÁN; D. CASTRO; A. MONTIEL",,"",,,,,
"GUZMAN","M. GUZMÁN;A. MONTIEL J.;D. CASTRO C.",,"",,,,,
"GUZMAN","M. GUZMÁN;D. CASTRO C.",,"",,,,,
"GUZMAN","M. GUZMÁN;D. CASTRO C.;A. MONTIEL J.",,"",,,,,
"HAAS","HAAS JH DE",,"",,,,,
"HAGE","HAGE, J.L.;NEFFA, V.S.",,"",,,,,
"HARLING","HARLING",,"",,,,,
"HARLING","HARLING & ANDERSSON",,"",,,,,
"HARRIMAN","HARRIMAN NA; JANSEN B",,"",,,,,
"HARRIMAN","NEIL A. HARRIMAN; JULIE ALLEN, BETTIE HARRIMAN, ROBERT JANSEN, JOHN L. KASPAR, BRUCE PARFITT",,"",,,,,
"HARTMAN","R. L. HARTMAN; V. A. FUNK; F. CHIANG C.",,"",,,,,
"HARTMAN","RONALD L. HARTMAN;V. A. FUNK;FERNANDO CHIANG C.",,"",,,,,
"HASSLER","HASSLER, E. (DR.)",,"",,,,,
"HASTINGS","J. R. HASTINGS",,"",,,,,
"HASTINGS","J. R. HASTINGS; R. M. TURNER",,"",,,,,
"HASTINGS","J. R. HASTINGS; R.M. TURNER",,"",,,,,
"HASTINGS","J. R. HASTINGS; R.M.TURNER",,"",,,,,
"HERBARIUM","T. S. BRANDEGEE (HERBARIUM)",,"",,,,,
"HERMILO","HERMILO J. QUERO RICO;ROSAURA GRETHER;H.M. FLORES-OLVERA",,"",,,,,
"HERNANDEZ","BRÍGIDO SANTIAGO HERNÁNDEZ",,"",,,,,
"HERNANDEZ","FAUSTINO HERNÁNDEZ A.; JUAN A. GUTIÉRREZ G.; RITO VEGA A.",,"",,,,,
"HERNANDEZ","HERNÁNDEZ ALVAREZ FAUSTINO",,"",,,,,
"HERNANDEZ","HERNÁNDEZ ALVAREZ FAUSTINO; GUTIÉRREZ G. JUAN A.; VEGA A. RITO",,"",,,,,
"HERNANDEZ","HERNÁNDEZ,M.A.",,"",,,,,
"HERNANDEZ","HÉCTOR HERNÁNDEZ MACÍAS; W. D. STEVENS",,"",,,,,
"HERNANDEZ","HÉCTOR M. HERNÁNDEZ M.;W. D. STEVENS",,"",,,,,
"HERNANDEZ","L.G. HERNÁNDEZ S.",,"",,,,,
"HERNANDEZ","M. A. HERNÁNDEZ",,"",,,,,
"HIERONYMUS","P. G. LORENTZ ET G. HIERONYMUS",,"",,,,,
"HOLM-NIELSEN","HOLM-NIELSEN ET AL.",,"",,,,,
"HOLM-NIELSEN","HOLM-NIELSEN LB; JEPPESEN S; ET AL.",,"",,,,,
"HOLM-NIELSEN","L. HOLM-NIELSEN, S. JEPPESEN, B. LØJTNANT & B. ØLLGAARD",,"",,,,,
"HOLM-NIELSEN","L.B. HOLM-NIELSEN;ET AL.",,"",,,,,
"HOMEIER","J. HOMEIER",,"",,,,,
"HOMEIER","JÜRGEN HOMEIER;FLORIAN A. WERNER",,"",,,,,
"HOTCHKISS","N. HOTCHKISS",,"",,,,,
"HUESCA","F. HUESCA M.",,"",,,,,
"HUGHES","C. HUGHES; S. SALAS M.; M. ELORSA C.; J. RIVERA H.",,"",,,,,
"HUGUES","COLIN HUGUES; SILVIA H. SALAS M.; MISAEL ELORSA C.; J. RIVERA H.",,"",,,,,
"HUMBERTO","HUMBERTO RENDÓN CARMONA",,"",,,,,
"HUNZIKER","HUNZIKER, A. T.;COCUCCI, A. E.",,"",,,,,
"HUNZIKER","HUNZIKER, AT",,"",,,,,
"HUNZIKER","HUNZIKER, AT; COCUCCI, AE",,"",,,,,
"HUNZIKER","HUNZIKER, AT;HUNZIKER, A.T.,COCUCCI, A.E.",,"",,,,,
"HUTCHISON","PAUL C. HUTCHISON;J. KENNETH WRIGHT",,"",,,,,
"IBARRA","G. IBARRA M.",,"",,,,,
"IDARRAGA","A. IDÁRRAGA;R. GONZÁLEZ;D. MOLINA;C. SANCHÉZ;P. MORALES;IVAN LÓPEZ.",,"",,,,,
"IDARRAGA","IDÁRRAGA, ÁLVARO;MOLINA, D;ZAPATA, A",,"",,,,,
"IDARRAGA-PIEDRAHITA","ÁLVARO IDÁRRAGA-PIEDRAHITA;DIEGO ALEJANDRO MOLINA;ET AL.",,"",,,,,
"IDARRAGA-PIEDRAHITA","ÁLVARO IDÁRRAGA-PIEDRAHITA;JULIO C. BETANCUR B.;D. SUESCÚN",,"",,,,,
"IGNACIO","J. IGNACIO VALDEZ H.; JOSÉ GARCÍA P.",,"",,,,,
"ILLESCAS","MARISELA ILLESCAS R.",,"",,,,,
"INVESTIGACION","GRUPO DE INVESTIGACIÓN ECOLOGÍA Y DIVERSIDAD VEGETAL",,"",,,,,
"JAGG","JAGG; JMAP",,"",,,,,
"JAHV","JAHV; JAGG",,"",,,,,
"JAMESON","JAMESON",,"",,,,,
"JARA","A. JARA;N. CUMBICUS",,"",,,,,
"JARDIM","ANTONY JARDIM;ET AL.",,"",,,,,
"JARDIM","ANTONY JARDIM;FABIANA MAMANI M.",,"",,,,,
"JARDIM","ANTONY JARDIM;G. MOSCOSO",,"",,,,,
"JARDIM","ANTONY JARDIM;N. ROSAS-HURTADO",,"",,,,,
"JENIFFER","JENIFFER DIAZ;CAROLINA CASTELLANOS CASTRO;ANA PEREZ",,"",,,,,
"JENIFFER","JENIFFER DIAZ;MICHAEL WAY;CAROLINA CASTELLANOS CASTRO",,"",,,,,
"JENIFFER","JENIFFER DÍAZ;MICHAEL WAY;CAROLINA CASTELLANOS",,"",,,,,
"JENIFFER","JENIFFER V. DIAZ;CAROLINA CASTELLANOS;ANA PEREZ",,"",,,,,
"JIMENEZ","L. ALFREDO PEREZ JIMENEZ",,"",,,,,
"JONES","FRED B. JONES",,"",,,,,
"JONES","S. JONES; G. JONES",,"",,,,,
"JORGE","JORGE RUÍZ;MARÍA C. FANDIÑO",,"",,,,,
"JORGENSEN","PEDRO JÖRGENSEN;ÉMILE HASSLER",,"",,,,,
"JOSEPH","JOSEPH LOPEZ",,"",,,,,
"KEIL","D. KEIL; T. F. DANIEL; M. MOHLENBROCK; M. L. BUTTERWICK; P. GALLAGHER; D. WOOD",,"",,,,,
"KIESLING","ROBERTO KIESLING;NUNCIA M. TUR;EMILIO A. ULIBARRI",,"",,,,,
"KILLIP","E. P. KILLIP, A. DUGAND & R. JARAMILLO",,"",,,,,
"KNIGHT","P.J. KNIGHT; J.M. DUKE; LIMERICK",,"",,,,,
"KRAPOVICKAS","ANTONIO  C. KRAPOVICKAS;AURELIO SCHININI",,"",,,,,
"KRAPOVICKAS","ANTONIO  C. KRAPOVICKAS;AURELIO SCHININI;G.E. PIESZKO",,"",,,,,
"KRAPOVICKAS","KRAPOVICKAS, A.; ET AL.",,"",,,,,
"KUKLMANN","J.G. KUKLMANN",,"",,,,,
"LANDRUM","R. LANDRUM; S. LANDRUM, M. VERA",,"",,,,,
"LANGLASS","LANGLASS  , E.",,"",,,,,
"LANGLASSE","LANGLASSÉ, E.",,"",,,,,
"LANGLASSE","LANGLASSÉ,E.",,"",,,,,
"LAURENCE","LAURENCE J. DORR",,"",,,,,
"LAZARTE","M. LAZARTE;ET AL.",,"",,,,,
"LEAVENWORTH","WILLIAM C. LEAVENWORTH",,"",,,,,
"LEAVENWORTH","WILLIAM C. LEAVENWORTH;HARRY HOOGSTRAAL",,"",,,,,
"LEGNAME","LEGNAME, -",,"",,,,,
"LENNA","M.J.DE LENNA",,"",,,,,
"LENTZ","DAVID LENTZ",,"",,,,,
"LEON","J. L. LEÓN DE LA LUZ",,"",,,,,
"LEON","LEÓN",,"",,,,,
"LETICIA","MARÍA LETICIA TORRES C.;ABISAÍ J. GARCÍA-MENDOZA;LUIS CORTÉS A.;CIPRIANO MARTÍNEZ R.;JUVENAL PÉREZ",,"",,,,,
"LEUENBERGER","LEUENBERGER, B. E.;ARROYO-LEUENBERGER, S. C. & EGGLI, U.",,"",,,,,
"LEWIS","LEWIS, -",,"",,,,,
"LIESNER","RONALD L. LIESNER;ÁNGEL C. GONZÁLEZ;R.C. WINGFIELD",,"",,,,,
"LINDEMAN","J.C. LINDEMAN ; J.H. DE HAAS",,"",,,,,
"LINDEMAN","J.C. LINDEMAN; J.H.DE HAAS",,"",,,,,
"LINDEMAN","LINDEMAN, J.C.;HAAS, H.",,"",,,,,
"LINDEMAN","LINDEMAN, JC; HAAS, H",,"",,,,,
"LINDEMAN","LINDEMAN, JC;LINDEMAN, J.C.,HAAS, H.",,"",,,,,
"LLANO","LLANO, M. DEL",,"",,,,,
"LLANOS","FANY LLANOS;J. CAMACHO",,"",,,,,
"LLIULLY","ARIEL LLIULLY;REINALDO LOZANO;O. APAZA",,"",,,,,
"LONARD","R. LONARD",,"",,,,,
"LONARD","ROBERT LONARD",,"",,,,,
"LONDONO-L","LONDOÑO-L, V;ET AL.",,"",,,,,
"LONGHI","LONGHI, S. .J.",,"",,,,,
"LONGWORTH","CYRUS LONGWORTH LUNDELL",,"",,,,,
"LONGWORTH","CYRUS LONGWORTH LUNDELL;AMELIA A. LUNDELL",,"",,,,,
"LOPEZ","H. LÓPEZ R.; VERÓNICA",,"",,,,,
"LOPEZ","H. LÓPEZ; V.E. ESPEJEL",,"",,,,,
"LOPEZ","JORGE L. MORA LÓPEZ; A. MORA",,"",,,,,
"LOPEZ","LÓPEZ, M.",,"",,,,,
"LOPEZ","LÓPEZ, R.;RODRÍGUEZ, N.;CÁRDENAS, F.",,"",,,,,
"LOPEZ","LÓPEZ, RENÉ;NIETO, JHON;CARDENAS, LUIS",,"",,,,,
"LOPEZ","RÉNE LÓPEZ;VIVIANA SALINAS;ROY GONZALEZ;FABIAN GARZÓN;VANBUREN WARD;GLORIA MURCIA;ANDRES BARONA;HERNANDO GARCIA;MARIO MORENO;BERNARDO BERNARD;RODOLFO HAWKINS;HAWTHORN NEWBAL",,"",,,,,
"LOPEZ-C","LÓPEZ-C., RENE;RODRIGUEZ, NELLY;CARDENAS, FREDY",,"",,,,,
"LORENTZ","LORENTZ, P. G.;HIERONYMUS, G. H. E. W.",,"",,,,,
"LORENTZ","P. G. LORENTZ & G. H. E. W. HIERONYMUS",,"",,,,,
"LORENTZ","P.G. LORENTZ & G. HIERONYMUS",,"",,,,,
"LORENTZ","P.G. LORENTZ;G. HIERONYMUS",,"",,,,,
"LOT","LOT A; ET AL.",,"",,,,,
"LOTT","E.J. LOTT; A.C. SANDERS",,"",,,,,
"LOURDES","LOURDES QUISPE;M. CORNEJO;P.M. JØRGENSEN;ROLANDO CUEVAS;R. ECHAVE;V. APAZA;M. CUEVAS",,"",,,,,
"LOURDES","LOURDES QUISPE;M. CORNEJO;P.M. JØRGENSEN;ROLANDO CUEVAS;V. APAZA;M. TINTAYA;M. CUEVAS",,"",,,,,
"LOVATO","LOVATO, M.C.; ET AL.",,"",,,,,
"LOVATO","LOVATO, M.C.;M.C. LOVATO",,"",,,,,
"LOVATO","M.C. LOVATO",,"",,,,,
"LOVATO","M.C.LOVATO; ET AL.",,"",,,,,
"LOVATO","M.C.LOVATO; ET AL.; ET AL.",,"",,,,,
"LOWY","P. LOWY",,"",,,,,
"LOZADA","L. LOZADA P.",,"",,,,,
"LUIS","JOSE LUIS LUZ",,"",,,,,
"LUNA","J. J. DE LUNA",,"",,,,,
"LUNA","LUNA",,"",,,,,
"LUNA","V.E. LUNA M.; M.G. ZOLA B.",,"",,,,,
"LUNDELL","C. L. LUNDELL; AMELIA A. LUNDELL",,"",,,,,
"LUNDELL","C.L. LUNDELL; AMELIA A. LUNDELL",,"",,,,,
"MAAS","MAAS PJM; CHATROU LW; REPETUR CP; CLARK JL",,"",,,,,
"MAAS","MAAS, P.M.J.; CHATROU, L.W.; REPETUR, C.P.; CLARK, J.L.",,"",,,,,
"MADSEN","JENS E. MADSEN;O.A. SÁNCHEZ",,"",,,,,
"MAGALLANES","J. ARTURO S. MAGALLANES",,"",,,,,
"MAGALLANES","J. ARTURO S. MAGALLANES; PABLO BASURTO",,"",,,,,
"MAGALLANES","J. MAGALLANES",,"",,,,,
"MAGALLANES","J.A. SOLÍS MAGALLANES",,"",,,,,
"MAHECHA","MAHECHA, G.;CORREDOR, A.",,"",,,,,
"MAJARREZ","JULIETA ÁLVAREZ MAJARREZ; ABRAHAM SOLÍS RODRÍGUEZ; OSCAR ZÁRATE MARTÍNEZ; ROBERTO GARIBAY ORIJEL; RODOLFO ÁNGELES ARGAÍZ",,"",,,,,
"MALME","MALME, G.A.O.",,"",,,,,
"MALVAREZ","MALVAREZ MR",,"",,,,,
"MANUEL","MANUEL YANEZ",,"",,,,,
"MARANTA","MARANTA, A.",,"",,,,,
"MARCOS","MARCOS O.",,"",,,,,
"MARESTONI","MARESTONI, TM;MARESTONI, T.M.,FRANCISCO, E.M.,CERVIGNE, N.S.",,"",,,,,
"MARGARITA","MARGARITA CASTRO",,"",,,,,
"MARMOL","MARMOL, L. A.",,"",,,,,
"MARMORI","MARMORI, GC",,"",,,,,
"MARMORI","MARMORI, GC;MARMORI, G.C.",,"",,,,,
"MARTINEZ","ARTURO SÁNCHEZ MARTÍNEZ; ARTURO NAVA ZAFRA",,"",,,,,
"MARTINEZ","ARTURO SÁNCHEZ MARTÍNEZ; ARTURO NAVA ZAFRA; KENIA VELASCO GUTIÉRREZ",,"",,,,,
"MARTINEZ","ARTURO SÁNCHEZ MARTÍNEZ; ARTURO NAVA ZAFRA; SILVIA H. SALAS M.",,"",,,,,
"MARTINEZ","ARTURO SÁNCHEZ MARTÍNEZ; M. HERNÁNDEZ; F. MALDONADO; ARTURO NAVA ZAFRA",,"",,,,,
"MARTINEZ","ARTURO SÁNCHEZ MARTÍNEZ;G. JUÁREZ;SILVIA SALAS M.",,"",,,,,
"MARTINEZ","C. MARTÍNEZ R.",,"",,,,,
"MARTINEZ","E. MARTÍNEZ S.; A. IBARRA",,"",,,,,
"MARTINEZ","E. MARTÍNEZ S.; A. VALIENTE B.; L. PÉREZ; C.C. VANEGAS",,"",,,,,
"MARTINEZ","E. MARTÍNEZ S.; ALFONSO VALIENTE BANUET; LAURA PÉREZ DEL VALLE C.; C. VANEGAS",,"",,,,,
"MARTINEZ","E. MARTÍNEZ S.; D. ALVAREZ; S. RAMÍREZ",,"",,,,,
"MARTINEZ","E. MARTÍNEZ S.; J. CASTREJÓN",,"",,,,,
"MARTINEZ","E. MARTÍNEZ S.; M. ELORSA; J. RIVERA; SILVIA H. SALAS M.; B. CRUZ",,"",,,,,
"MARTINEZ","E. MARTÍNEZ S.; MISAEL ELORSA C.; CATHERINE PERRET",,"",,,,,
"MARTINEZ","E. MARTÍNEZ S.; S. SALAS M.; J. RIVERA H.; M. ELORSA C.",,"",,,,,
"MARTINEZ","E.M. MARTÍNEZ S.; A. VALIENTE B.; L. PÉREZ DEL VALLE C.; C. VANEGAS",,"",,,,,
"MARTINEZ","ESTEBAN M. MARTÍNEZ S.;A. VALIENTE B.;L. PÉREZ DEL VALLE C.;C. VANEGAS",,"",,,,,
"MARTINEZ","ESTEBAN M. MARTÍNEZ S.;DEMETRIO ÁLVAREZ M.;SANTIAGO RAMÍREZ A.",,"",,,,,
"MARTINEZ","F. MARTÍNEZ M.; G. BORJA L.",,"",,,,,
